# Décisions éditoriales, cumulées au fil des revues.
#
# keep    : validé, et conservé même si un plancher venait à monter.
# drop    : écarté du catalogue.
# promote : remonté dans le classement. Sur un lieu hors de sa collection
#           nationale, il l'y fait ENTRER, à son rang, et rien de plus.
# promote2: le fait entrer ET le monte d'un cran. À n'employer que là où
#           `promote` ne ferait qu'entrer — ailleurs il vaut `promote`.
# demote  : descendu dans le classement.
#
# Ce fichier est la mémoire de la curation. Le supprimer perd tout le travail
# de relecture ; en corriger une ligne suffit à revenir sur un verdict.
#
wikidata_id,decision,name,note
Q18068,keep,Dôme de Milan,
Q1809027,keep,Pont Scaliger,
Q1815153,demote,Tour Mileto,
Q1816839,drop,Val Cluson,
Q1817134,drop,Géants de mont Prama,
Q182955,drop,Musées du Vatican,
Q1846533,drop,Val Ferret,
Q186282,keep,Basilique Sainte-Marie-Majeure de Rome,
Q1881229,keep,MAXXI - Musée national des arts du XXIe siècle,
Q188487,keep,Lac Trasimène,
Q189387,keep,Ischia,
Q189883,keep,Palais des Doges,
Q191739,keep,Cathédrale Santa Maria del Fiore,
Q1918992,drop,Vallée Antrona,
Q192784,keep,Colonne Trajane,
Q19347,demote,Île de Gorgone,
Q19378,keep,Giannutri,
Q1945737,keep,Monte Baldo,
Q1945818,keep,Mont Cimone,
Q1954273,keep,Musée Revoltella,
Q1971299,keep,Palais Colonna,
Q19838,keep,Palais royal de Venaria,
Q19874,drop,Musée national du cinéma,
Q19877,promote,Musée Égyptologique de Turin,
Q19881,keep,Abbaye Saint-Michel-de-la-Cluse,
Q1994964,keep,Grottes de Frasassi,
Q1996075,keep,Chapelle Brancacci,
Q2004104,keep,Sanctuaire Madonna di San Luca,
Q200642,drop,Mont Palatin,
Q2015116,keep,Amphithéâtre de Pompéi,
Q201902,keep,Mole Antonelliana,
Q202207,drop,Plaine du Pô,
Q203169,drop,Île de Montecristo,
Q2034331,keep,Palazzo Rosso,
Q2036332,keep,Basilique San Pietro in Ciel d'Oro,
Q2037271,drop,Portus,
Q2047548,drop,Palais Chigi,
Q2060988,keep,Villa Pisani,
Q207323,keep,Vulcano,
Q207486,promote,Basilique Saint-François,
Q207808,keep,Circus Maximus,
Q208114,keep,Île de Pianosa,
Q208180,keep,Lac de Bolsena,
Q2084394,keep,Villa Godi Malinverni,
Q208633,keep,Ponte Vecchio,
Q2086777,drop,Trompia Valley,
Q2103704,drop,Ponte Duca d'Aosta,
Q211295,keep,Forum de Trajan,
Q2119637,drop,Nécropole du Vatican,
Q2126879,drop,Valpelline,
Q2127537,drop,Valsassina,
Q2140194,drop,Vélabre,
Q2142241,keep,Arc de Bénévent,
Q2158200,drop,Tombe de saint Pierre,
Q215897,keep,Castel del Monte,
Q2165447,drop,Villa Malaparte,
Q217449,drop,Val d'Orcia,
Q217527,keep,Place Saint-Marc,
Q219502,keep,Basilique Sainte-Justine,
Q223079,keep,Palais du Quirinal,
Q223427,drop,Amatrice,centre historique détruit par le séisme de 2016
Q223942,keep,La Fenice,
Q224961,keep,Basilique Sainte-Marie-Glorieuse-des-Frères de Venise,
Q2252934,drop,Primiero,
Q2255867,keep,Fort de Bard,
Q2256770,keep,Cap Caccia,
Q2257429,drop,Cap Peloro,
Q226221,keep,Lido de Venise,
Q2275554,drop,Sextental,
Q231699,keep,Basilique Saint-Paul-hors-les-Murs,
Q23308931,drop,Phare du cap Colonna,
Q23354,keep,Château des Sforza,
Q2350404,keep,Sassi de Matera,
Q243456,demote,Cumes,
Q244952,keep,Église Santa Maria delle Grazie de Milan,
Q246429,drop,Teatro San Cassiano,démoli en 1812
Q2478068,drop,Valchiavenna,
Q24941161,drop,Cascade de Sardagna,
Q2518724,keep,Musée de Castelvecchio,
Q2530284,keep,Mont Circé,
Q253241,keep,Su Nuraxi,
Q256454,drop,Val di Fiemme,
Q256486,keep,Cathédrale Notre-Dame-de-l'Assomption de Naples,
Q256790,keep,Forteresse de Fenestrelle,
Q2575251,drop,Teatro San Moisè,n'existe plus
Q257965,drop,Val Müstair,
Q259658,demote,Phare du Mont Circé,
Q261233,keep,Museo del Novecento,
Q261439,keep,Teatro Massimo Vittorio Emanuele,
Q261523,drop,Val di Non,
Q2634480,keep,Abbaye de Farfa,
Q2636862,promote,Prato della Valle,
Q2637309,drop,Vallo di Diano,
Q265384,keep,Colonne de Marc-Aurèle,
Q2705493,keep,Triennale de Milan,
Q2706867,keep,Musée Ferrari,
Q2717392,demote,Pont des Tétons,
Q271928,keep,Palais de la Seigneurie,
Q272777,keep,Villa d'Hadrien,
Q272968,demote,Élée,
Q2739100,keep,Palais des papes de Castel Gandolfo,
Q27875946,drop,Château des Pic,
Q281330,demote,Muraille Servienne,
Q282554,keep,Cathédrale Notre-Dame-de-l'Assomption de Sienne,
Q282839,keep,Oreille de Denys,
Q283034,drop,Mugello,
Q28375369,keep,Phare du Janicule,
Q28375947,keep,Phare de Santa Maria di Leuca,
Q28376417,demote,Phare de San Benedetto del Tronto,
Q2882456,demote,Jardin botanique de Brera,
Q289427,demote,Mausolée de Théodoric,
Q2898082,keep,Palais Grimani di Santa Maria Formosa,
Q290097,drop,Baïes,
Q290549,promote,Musée de Capodimonte,
Q29286,keep,Palais Pitti,
Q2933429,keep,Cala Goloritzé,
Q2943,keep,Chapelle Sixtine,
Q29886508,drop,Grottes de Coreca,
Q301774,drop,Adige Valley,
Q303853,demote,Aspromonte,
Q31229,drop,Mochènes,
Q3183228,keep,Château Visconti,
Q327983,keep,Palais de Caserte,
Q329967,promote,Paestum,
Q3321680,drop,Mont Barbaro,
Q3329137,keep,Musée Enzo-Ferrari,
Q3329487,keep,Musée archéologique national de Paestum,
Q333844,keep,Abbaye de Bobbio,
Q333906,keep,Musées du Capitole,
Q334051,keep,Abbaye du Mont-Cassin,
Q335070,drop,Albe la Longue,
Q3361280,drop,Palazzo Angelo Giovanni Spinola,
Q3361305,demote,Palazzo Gio Carlo Brignole,
