# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q11184602,3,villages,Pietramontecorvino
Q111856,3,villages,Montegridolfo
Q111937,3,villages,San Giovanni in Marignano
Q111942,3,villages,San Leo
Q111972,3,villages,Verucchio
Q1120660,2,abbayes,Abbaye de Vezzolano
Q112127,3,villages,Tremosine
Q112192776,3,plages,Baia Flaminia
Q112336078,2,gorges,Gola del Bletterbach
Q112482,3,monuments,Torre Civica
Q112485,2,chateaux,Château Savoie
Q1126234,2,iles,Tavolara
Q1126723,2,musees,Villa Farnesina
Q1129358,3,lacs,Lac de Lesina
Q1129380,2,sommets,Mont Albain
Q113015071,2,cascades,Cascata d'Ampola
Q1131376,3,lacs,Lago di Piano
Q1131395,3,villages,Montefioralle
Q1131545,1,plages,Cap Palinuro
Q1131991,3,megalithes,Corbione
Q1132166,3,sommets,Monte San Primo
Q1132503,3,cathedrales,Dôme San Lorenzo
Q1132979,3,megalithes,Corioles
Q1133295,2,iles,Île de Ponza
Q1134283,3,megalithes,Cornus
Q1135392,2,musees,Musée national romain
Q113625590,2,cascades,Cascata di S'Istrampu de Massabari
Q1136496,3,sommets,Mont Nerone
Q1136614,2,monuments,Palais Barberini
Q1137496,3,megalithes,Néapolis
Q113882387,3,plages,Capo Caprazoppa
Q1139609,3,musees,Villa Foscari
Q1139820,3,sommets,Cervati
Q113989143,3,plages,Spiaggia del Malpasso
Q113997137,3,plages,Capo San Donato
Q1140023,2,monuments,Campanile de Santa Maria del Fiore
Q11406604,3,iles,Île de Sant'Antioco
Q114436,2,abbayes,Abbaye de Tre Fontane
Q1145261,2,cathedrales,Basilique de Superga
Q1145812,3,cathedrales,Cathédrale d'Udine
Q1147433,3,lacs,Lago delle Trote
Q1147746,2,chateaux,Château d'Issogne
Q114892456,3,cascades,Cascate di Predas Rujas
Q11498,2,villages,Bobbio
Q1151133,3,musees,Musée archéologique national de Cagliari
Q1152669,3,sommets,Palanzone
Q1153879,3,monuments,Arco dei Gavi
Q1156274,3,monuments,Tour Velasca
Q115785065,3,plages,Spiaggia dei Pescatori
Q115933381,3,plages,Spiaggia Alimini
Q1160855,3,megalithes,Trebula Balliensis
Q116254821,3,plages,Spiaggia della Purità (Gallipoli)
Q116531,3,villages,Atina
Q116552,3,villages,Boville Ernica
Q1166100,2,chateaux,Château de Rocca Calascio
Q1166106,3,chateaux,Rocca Malatestiana
Q116660,3,villages,Castro dei Volsci
Q116774401,3,cascades,Cascata di S'Iscala 'e S'Atentu
Q117032,3,villages,Pico
Q1174435,3,chateaux,Château d'Arechi
Q1175491,3,megalithes,Crypte du Rédempteur
Q1177961,1,lacs,Lac de Misurina
Q118189632,3,plages,Capo Boi
Q11827076,3,sommets,Monte Forato
Q11836,3,megalithes,Temple de Minerve
Q1189187,3,iles,Strombolicchio
Q1190657,1,maisons,Musée Poldi-Pezzoli
Q1190961,3,monuments,Palazzo Pubblico
Q11913906,3,megalithes,Circeii
Q11936633,3,megalithes,Metauria
Q1200696,2,musees,Museo dell'Opera del Duomo
Q120272,3,villages,Luserna
Q1203458,2,musees,Galerie Doria-Pamphilj
Q120399,3,villages,Carloforte
Q121354058,3,plages,Marina di Alberese
Q1218738,3,iles,Île de San Domino
Q121889310,2,cascades,Cascata del salton
