# Candidats adoptés depuis OpenStreetMap.
#
# Trouvés parce qu'un lieu porte des horaires ou un tarif — un fait de terrain
# — là où Wikidata ne le classait dans aucune des classes interrogées. Ils
# n'ont aucun privilège : ils sont scorés, soumis au plancher de notoriété et
# dédoublonnés comme les autres. Ce fichier existe pour que `fetch` les
# retrouve, et pour qu'une ligne retirée à la main le reste.
#
wikidata_id,theme_id,note
Q16586138,musees,Palazzo Doria-Pamphilj
Q16609924,musees,Spoleto Città
Q16621620,chateaux,Villa del Colle del Cardinale
Q1668890,monuments,Saint Proculus church
Q16975779,musees,Safari Ravenna
Q17494412,musees,Museo etnografico dell'Alta Brianza
Q17592733,musees,Schreibmaschinenmuseum Partschins
Q17622679,musees,Institut culturel mocheno
Q17623900,musees,
Q17636844,musees,Ethnographic Museum of Premana
Q18288173,monuments,Jewish cemetery of Conegliano
Q18288681,musees,
Q18288934,monuments,Quercia delle Checche
Q18670440,musees,Musée de Bassano
Q18676874,musees,Museo della Madonna del Parto
Q18796164,musees,"Pinacoteca Civica ""il Guercino"""
Q18881530,musees,Musei Civici di Feltre
Q19621608,cascades,
Q19721692,musees,
Q19904258,musees,Ospedale di Busto Arsizio picture gallery
Q20008341,musees,MuFant
Q20008551,musees,Archaeological Museum of Venafro
Q20009206,grottes,
Q20009250,musees,Archaeological Civic Museum
Q20009774,chateaux,Castel Pradaglia
Q2002401,musees,
Q20770633,musees,Musée du banditisme d'Aggius
Q2098818,musees,Plattner in Wolfsgruben
Q21008951,musees,Museo archeologico oliveriano
Q21035617,musees,Museo dell'arte della tornitura del legno
Q21076223,musees,Agorà della Scherma
Q21153574,musees,Musée national atestin
Q21188687,musees,Musée diocésain de Caserte
Q21192539,megalithes,Grotta della vipera
Q21196203,musees,Musée de la Céramique de Bassano del Grappa
Q21196218,musees,Musée Remondini
Q21235335,megalithes,
Q21551899,musees,Casa-Studio Fernando Melani
Q21552047,musees,Museo Archivio/Laboratorio per le Arti Contemporanee Hermann Nitsch
Q21552052,musees,Civic Museum of Taverna
Q21552066,musees,Augusto Vernarecci Civic Museum and Pinacotheca
Q21552078,musees,Museo Civico 'I luoghi del lavoro contadino'
Q21552091,musees,Museo Civico della Fisarmonica Mariano Dallapè
Q21552175,musees,City Museum of Monte Porzio Catone
Q21552276,musees,Museo geopaleontologico 'Ardito Desio'
Q21552292,musees,Museo Navale Internazionale del Ponente Ligure
Q21552312,musees,Museo Tuscolano Scuderie Aldobrandini
Q21552328,musees,Pinacoteca 'Michele De Napoli'
Q2223812,musees,Sant’Agostino
Q22691332,musees,Mine Villanders
Q23926876,musees,Concordiese national archeological museum
Q24523065,musees,Civic Archaeological Museum of Verucchio
Q24934566,musees,Agorà Orsi Coppini Museum
Q24938027,musees,Museo del Risorgimento e sacrario di Oberdan
Q24938029,musees,Museo storico dell'arma di cavalleria
Q24941109,musees,Musée archéologique national de Civitavecchia
Q24941869,musees,National museum of sea archaeology
Q24941924,jardins,Mausoleum of the Conocchia
Q24942825,megalithes,Roman Theatre of Bovianum Vetus
Q2525859,monuments,Villa Valmarana ai Nani
Q25387400,musees,
Q25400346,musees,Fornace Coccapani
Q25409272,monuments,San Bartolomeo degli Umiliati
Q2592412,musees,Wolfsoniana
Q26258041,monuments,Istituto dei Ciechi di Milano
Q26678364,musees,
Q27031421,musees,Gallerie Piedicastello
Q2739545,monuments,Caffè Pedrocchi
Q27435051,musees,Museo delle Terre Nuove
Q27825053,musees,MUSME
Q27992733,musees,"Museo del bonsai ""Crespi"""
Q27992744,musees,Museo civico Craveri di storia naturale
Q27992746,musees,
Q27992761,musees,"Museo archeologico ""Villa Sulcis"""
Q27992824,musees,Museo del Bijou
Q27992861,musees,
Q27992884,musees,Rivalta sul Mincio
Q27992890,musees,
Q27992921,musees,Museums in Bra
Q27992927,musees,
Q27992934,musees,Museo D'Annunzio Eroe
Q27992938,musees,Museo etnografico
Q27992939,musees,Museo Archeologico Genna Maria
Q27992941,musees,Museo Naturalistico del Territorio “Giovanni Puscheddu”
Q27993875,monuments,Torre Civica
Q28003409,monuments,Ponte dell'Acqua
Q28003411,monuments,Ponte Muto
Q28003503,chateaux,Stronghold of Castrocaro
Q28047517,musees,Museo di Storia della Fisica
Q28670140,monuments,Torre del Gombito
Q2944202,musees,Cenacolo di Fuligno
Q29640281,musees,Delta Antico museum
Q29904728,musees,Museo Civico Navale
Q29917950,musees,Museo Renato Brozzi
Q30064559,musees,Limonaia del Castel
Q30066260,musees,Casa Masaccio
Q30090778,musees,Museo di Salò
Q30159213,musees,Opera Bosco
Q30281536,grottes,Grotta di Filiestru
Q30880427,musees,Falseum - Museo del falso e dell'inganno
Q30888186,musees,Polo museale della cantieristica navale di Monfalcone
Q30888469,musees,Zecca di Lucca
Q30888845,musees,Museo civico Floriano Bodini
Q30889387,musees,Musée du trésor de la cathédrale de Vercelli
Q30890701,musees,Museo della Centuriazione Romana
Q30894932,musees,Museo della Latteria
Q30899161,musees,Museo del Setificio Piemontese
Q3133893,musees,Herbier et musée botanique de l'université de Bologne
Q3209505,musees,South Tyrolean Folklore Museum
Q32814481,musees,Pinacoteca Antonio Atza
Q32814927,musees,Museo casa Deriu
Q32815631,musees,Museo delle Conce
Q33041024,musees,
Q33155159,cascades,Pos de l'acqua
Q3328414,musees,Musée des navires romains de Fiumicino
Q3328416,musees,Museo delle sinopie
Q3328417,musees,Museo per la Memoria di Ustica di Bologna
Q3329417,musees,Musée archéologique Isidoro-Falchi
Q3329420,musees,Musée archéologique civique
Q3329475,musees,Musée national étrusque de Viterbe
Q3329479,musees,Musée archéologique national de Tuscania
Q3329481,musees,Musée archéologique national d'Arezzo
Q3329493,musees,Musée archéologique régional de la Vallée d'Aoste
Q3329813,musees,Musée de l'artisanat valdôtain de tradition
Q34501127,musees,Torre del Barbarossa
Q3531044,megalithes,Tomba della Montagnola
Q3531083,megalithes,Tombe de la Mule
Q35505954,musees,Ecomuseo dell'acqua
Q3585409,monuments,Église Sainte-Claire de Murano
Q3603991,musees,Accademia dei Concordi di Rovigo
Q3604679,musees,Aquarium of Cattolica
Q3618772,musees,Antiquarium arborense
Q3618785,musees,Antiquarium Statale di Numana
Q3621152,musees,Ar/ge kunst Galleria Museo
Q3621669,musees,Archive musée historique de Fiume
Q3626705,musees,
Q3639876,monuments,Bigo
Q3647494,monuments,Bus de la Lum
Q3657320,monuments,Chapelle Baglioni
Q3661256,musees,Casa della cultura Leonida Repaci
Q3661302,musees,Maison de Pirandello
Q3661536,cascades,
Q3661537,cascades,Farfarà waterfall
Q3661799,musees,Casino Nobile di Villa Torlonia
Q3662327,chateaux,Castello Grumello
Q3662701,chateaux,Castle of Modica
Q3662705,chateaux,Castello di Mongialino
Q3662710,chateaux,Château de Monaselice
Q3662994,chateaux,Castelluccio di Gela
Q3663193,megalithes,Ad Decimum catacombs
Q3664804,musees,Centre d'art moderne et contemporain
Q3669073,musees,
Q3671516,monuments,Chiesa di San Nicolò l'Arena
Q3671783,musees,Battistero di San Pietro (Asti)
Q3673324,monuments,Église de l'Assomption de Sainte Marie
Q3674049,monuments,Chiesa di Santa Maria di Idris
Q3676889,monuments,Cimetière monumental de Busto Arsizio
Q3677153,musees,CineCittà World
Q3678766,musees,Civiche raccolte d'arte di palazzo Marliani-Cicogna
Q3678768,musees,Aquarium marin civique de Trieste
Q3685236,musees,Monumental Complex of San Francesco
Q3713404,musees,Domus Romana
Q3718650,musees,
Q3718652,musees,Écomusée du paysage de Parabiago
Q3719016,musees,Edenlandia
Q37282696,musees,Museo di Arte Sacra San Giacomo
Q3734809,musees,Europark Idroscalo Milano
Q3747149,musees,Fondation Burri
Q3747250,musees,
Q3757715,musees,"Galleria civica d'arte contemporanea ""Osvaldo Licini"" (Ascoli Piceno, Italy)"
Q3757718,musees,Galleria d'Arte Moderna
Q3761649,musees,Ghetto
Q3763882,jardins,
Q3763933,musees,Zoo di Pistoia
Q3768551,musees,Gypsothèque Davide-Calandra
Q3770979,musees,Museo della Ceramica Giuseppe Mazzotti
Q3777028,grottes,
Q3777030,monuments,Grotta del Vento
Q3777037,grottes,Grotta dell'Inferno
Q3777063,grottes,
Q3777075,grottes,Grotta di Monte Majore
Q3777125,grottes,Montevicoli Caves
Q3777130,grottes,
Q3784231,musees,Maison des anciens remèdes
Q3786839,monuments,Hortus Conclusus
Q37870367,musees,Arte Vetraria Museum
Q37872481,monuments,Petrarca's house
Q3821241,musees,The Tower of the Sun
Q3840616,musees,Luneur Park
Q3841681,musees,Museo della Scultura Contemporanea
Q3846801,musees,Marengo Museum
Q3852977,monuments,Mausoleum of Bela Rosin
Q3854838,monuments,Marché Albinelli
Q3854852,monuments,Mercato delle Erbe
Q3858696,musees,Mirabilia Urbis Mazara del Vallo
Q3859477,megalithes,Mithraeum de Marino
Q3860224,monuments,Molinetto della Croda
Q3862719,monuments,
Q3862720,monuments,
Q3867240,megalithes,Walls of Timoleon
Q3867541,musees,Musei della Canonica del Duomo di Novara
Q3867565,musees,Museo-laboratorio della Civiltà Contadina
Q3867569,musees,Museum Adriano Bernareggi
Q3867575,musees,Museo Baroffio e del Sacro Monte
Q3867586,musees,Museo Carandente
Q3867588,musees,CARLO ZAULI MUSEUM
Q3867590,musees,Casina delle Civette
Q3867591,musees,Casa d'arte futurista Depero
Q3867613,musees,Museo Kere
Q3867621,musees,Musée Morandi
Q3867629,musees,Museo Tattile Statale Omero
Q3867631,musees,Museo Civico Pietro Micca e dell'assedio di Torino
Q3867632,musees,Museo Pio IX
Q3867655,musees,Museo africano
Q3867656,musees,Musée en plein air Bilotti
Q3867662,musees,Musée archéologique civique Iulium Carnicum
Q3867665,musees,Musée archéologique La Civitella
Q3867667,musees,Museo archeologico comunale Ferruccio Barreca
Q3867669,musees,Musée archéologique des Champs Phlégréens
Q3867671,musees,Museo archeologico del Canavese
Q3867676,musees,Museo Archeologico dell'alto Mantovano
Q3867680,musees,Museo Archeologico della Media Valle del Sele
Q3867688,musees,Musée archéologique de Lecco
Q3867694,musees,Archaeological Museum of Lamezia Terme
Q3867696,musees,Museo Archeologico Nazionale G. Carettoni di Cassino
Q3867698,musees,Museo Archeologico Ibleo
Q3867699,musees,Musée national de Matera
Q3867704,musees,National Archaeological Museum of Sannio Caudino
Q3867705,musees,National Archaeological Museum of Sibaritide
Q3867707,musees,Museo nazionale della Siritide (Policoro)
Q3867708,musees,Museo archeologico nazionale della Valle del Sarno
Q3867710,musees,Museo archeologico nazionale di Adria
Q3867712,musees,Museo Nazionale di Gnazia
Q3867730,musees,Musée archéologique national de Volcei
Q3867737,musees,National Archaeological Museum of Arcevia
Q3867739,musees,Museo archeologico statale Vincenzo Laviola
Q3867756,musees,
Q3867759,musees,Casale Monferrato
Q3867760,musees,Museo civico di Chiusa
Q3867769,musees,Museo civico di Rovereto
Q3867774,musees,Museo civico Duilio Cambellotti
Q3867780,musees,Museo civico Umberto Mastroianni
Q3867795,musees,Museo civico archeologico della città romana di Suasa
Q3867796,musees,
Q3867797,musees,Musée archéologique municipal de Cologna Veneta
Q3867808,musees,Museo civico della Laguna Sud
Q3867820,musees,Museo civico di Treviglio
Q3867827,musees,Carmagnola civic historical natural museum
Q3867845,musees,Musée d'Art Costantino- Barbella
Q3867849,musees,Musée d'art contemporain de Lissone
Q3867864,musees,Vittoria Colonna Modern Art Museum
Q3867867,musees,
Q3867882,musees,Musée des fresques Giovanni Battista Cavalcaselle
Q3867886,musees,Museo degli Orologi da Torre
Q3867893,musees,Museo etnografico trentino San Michele
Q3867894,musees,Museum of Brettii and Enotri
Q3867898,musees,Museo dei campionissimi
Q3867903,musees,Museo Paleontologico Roncà
Q3867904,musees,Musée des gladiateurs de Santa Maria Capua Vetere
Q3867905,musees,Museum of Tarot
Q3867938,musees,Serbariu coal mine museum
Q3867957,musees,Palazzo Appiani
Q3867963,musees,Museo del Paesaggio
Q3867968,musees,Museo del prosciutto di Parma
Q3867971,musees,Museo del salame di Felino
Q3867978,musees,Museum of Vimercate and its territory
Q3867981,musees,Museo Sant'Eulalia
Q3867987,musees,Museum of Textiles and Industry of Busto Arsizio
Q3867994,musees,Musée de l'Académie étrusque de Cortone
Q3868006,musees,Musée de l'eau et du gaz
Q3868031,musees,Museo della Brigata Sassari
Q3868045,musees,Musée de la République romaine et la mémoire de Garibaldi
Q3868052,musees,Museo della Sindone
Q3868055,musees,Museo della Basilica di Santa Maria delle Grazie
Q3868056,musees,Museo Della Bonifica
Q3868057,musees,
Q3868063,musees,"Museo della Cartolina ""Salvatore Nuvoli"""
Q3868066,musees,Museo dell'arte ceramica
Q3868076,musees,Musée de la ville du palazzo San Sebastiano
Q3868083,musees,City and Territory Museum
Q3868087,musees,Museo della civiltà solandra
Q3868094,musees,Giorgio Amarelli Museum of Liquorice
Q3868115,musees,Museum of Electrical Technique
Q3868117,musees,Museo della vetrata
Q3868122,musees,Museo Ferroviario Sardo
Q3868143,musees,Museo delle Genti d'Abruzzo
Q3868152,musees,Museo delle palafitte di Fiavé
Q3868157,musees,Lake Ledro Stilt house Museum
Q3868162,musees,Museo dello Strumento Musicale
Q3868163,musees,"Museo Demologico dell'Economia, del Lavoro e del"
Q3868167,musees,Casal de' Pazzi Museum
Q3868181,musees,Museo di San Francesco
Q3868187,musees,"Zoological Museum, Catania"
Q3868200,musees,Musée d'art sacré de Massa Marittima
Q3868203,musees,Museum of religious art
Q3868211,musees,Musée de Physique de Naples
Q3868214,musees,"Geophysical Museum, Rocca di Papa"
Q3868229,musees,Museo di scienze naturali
Q3868232,musees,Museo di scienze naturali del Collegio Mellerio Rosmini
Q3868236,musees,"Museum of Biomedical Sciences, Chieti"
Q3868241,musees,Natural History Civic Museum of Ferrara
Q3868245,musees,Musée d'histoire naturelle de Jesolo
Q3868248,musees,Museo della seta di Como
Q3868251,musees,"Museo diffuso della resistenza, della deportazione, della guerra, dei diritti e della libertà"
Q3868273,musees,"Musée diocésain ""Vito Ballatore"" de Mazara del Vallo"
Q3868305,musees,Musée diocésain de San Sebastiano
Q3868311,musees,Musée diocésain d'art sacré de Giaglione
Q3868319,musees,Museo diocesano d'arte sacra (Susa)
Q3868336,musees,"Musée diocésain d'art moderne ""Dedalo Montali"""
Q3868341,musees,Musée diocésain de Sorrento-Stabia
Q3868350,musees,Museo ebraico Yeshivà Marini
Q3868353,musees,Ethnographic museum of Bomba
Q3868361,musees,Musée Gambarina
Q3868375,musees,Museo Ferroviario Piemontese
Q3868388,musees,Museo internazionale della calzatura
Q3868396,musees,Museo Lapidario
