decision,curator_note,theme_id,name,wikidata_id
drop,,,"Phare de Capo Palinuro",Q55606606
keep,,,"Phare de Punta Carena",Q372769
keep,,,"Phare de San Venerio",Q431403
keep,,,"Phare de Santa Maria di Leuca",Q28375947
keep,,,"Phare du Janicule",Q28375369
keep,,,"Phare de Bari",Q3378175
keep,,,"Phare de Capo Testa",Q3739765
keep,,,"Phare de Punta Penna",Q973243
keep,,,"Piazza dei Miracoli",Q750245
keep,,,"Place Saint-Pierre",Q83425
keep,,,"Place Saint-Marc",Q217527
keep,,,"Piazza Navona",Q463400
keep,,,"Piazza del Popolo",Q824997
keep,,,"Place du Capitole",Q34921
keep,,,"Ghetto de Venise",Q649030
keep,,,"Piazza di Spagna",Q15124814
keep,,,"Piazza Venezia",Q874832
keep,,,"Largo di Torre Argentina",Q1541068
promote,,,"Prato della Valle",Q2636862
promote,,,"Piazza del Plebiscito",Q1047594
keep,,,"Gargano",Q763332
keep,,,"Péninsule de Sorrente",Q59116
keep,,,"Scala dei Turchi",Q3951389
keep,,,"Capo Vaticano",Q1034760
keep,,,"Capo Testa",Q1034748
keep,,,"Cap Caccia",Q2256770
keep,,,"Poetto",Q3393181
keep,,,"Promontoire de l'Argentario",Q1239373
keep,,,"Cala Goloritzé",Q2933429
keep,,,"Péninsule du Sinis",Q1664412
keep,,,"Ponte Vecchio",Q208633
keep,,,"Pont des Soupirs",Q52517
keep,,,"Pont du Rialto",Q52505
keep,,,"Pont de la Constitution",Q52501
keep,,,"Pont de l'Académie",Q52509
keep,,,"Pont de pierre",Q540546
keep,,,"Pont d'Aël",Q844246
keep,,,"Pont Nomentano",Q1351222
keep,,,"Pont Santa Trinita",Q545578
keep,,,"Pont Scaliger",Q1809027
promote,,,"Pont de la Madeleine",Q2103761
keep,,,"Monts Sibyllins",Q691073
keep,,,"Marmolada",Q203241
keep,,,"Tre Cime di Lavaredo",Q1257207
keep,,,"Mont Titano",Q158526
keep,,,"Monte Pellegrino",Q731916
keep,,,"Mont Amiata",Q470777
keep,,,"Monte Baldo",Q1945737
keep,,,"Monte Grappa",Q701820
keep,,,"Monte Zoncolan",Q1468844
keep,,,"Mont Circé",Q2530284
promote,,,"Cinque Torri",Q933666
keep,,,"Vésuve",Q524
keep,,,"Etna",Q16990
keep,,,"Champs Phlégréens",Q755123
keep,,,"Monte Nuovo",Q1084616
keep,,,"Vulcanello",Q1321161
keep,,,"Volcan Albain",Q4016622
keep,,,"Vulcano",Q1648022
keep,,,"Abbaye de Tre Fontane",Q114436
keep,,,"Abbaye de Casamari",Q833129
keep,,,"Abbaye de Fossanova",Q1775258
keep,,,"Chartreuse de Galluzzo",Q1056344
keep,,,"Abbaye de Bobbio",Q333844
keep,,,"Abbaye de la Novalaise",Q2755827
keep,,,"Abbaye de Farfa",Q2634480
