decision,curator_note,theme_id,name,wikidata_id
keep,,,"Palais de la Zisa",Q1000054
keep,,,"Château de Fénis",Q607126
keep,,,"Castello dell’ovo",Q645041
demote,,,"Balzi Rossi",Q555143
demote,,,"Grotte de Fumane",Q3936338
keep,,,"Île de Pianosa",Q208114
keep,,,"Lido de Venise",Q226221
keep,,,"Giudecca",Q52435
keep,,,"Île de Capraia",Q3593349
keep,,,"Tavolara",Q1126234
keep,,,"Isola Bella",Q174054
keep,,,"Palmaria",Q757114
keep,,,"Île de Salina",Q505847
keep,,,"Caprera",Q845310
keep,,,"Panarea",Q654105
keep,,,"Asinara",Q730500
keep,,,"Lipari",Q499519
keep,,,"Île San Pietro",Q912934
drop,,,"Île de San Giorgio Maggiore",Q126327
drop,,,"Lampione",Q168820
keep,,,"Marettimo",Q497339
demote,,,"San Michele",Q844263
demote,,,"Jardins de Bomarzo",Q574740
demote,,,"Jardin Botanique de l'Université de Pavie",Q1765144
keep,,,"Lac de Nemi",Q648679
keep,,,"Lac d'Albano",Q849448
keep,,,"Palais Colonna",Q1971299
keep,,,"Villa Pisani",Q2060988
keep,,,"Musée Enzo-Ferrari",Q3329137
keep,,,"Villa Godi Malinverni",Q2084394
keep,,,"Forum Romain",Q180212
keep,,,"Circus Maximus",Q207808
keep,,,"Mur d'Aurélien",Q625149
keep,,,"Ségeste",Q692847
keep,,,"Ostie",Q1012797
keep,,,"Forum de Trajan",Q211295
keep,,,"Mausolée de Galla Placidia",Q644288
keep,,,"Théâtre de Taormine",Q747484
keep,,,"Villa des Mystères",Q1241298
keep,,,"Nécropole de Pantalica",Q931434
keep,,,"Stabies",Q547910
keep,,,"Arc de Bénévent",Q2142241
drop,,,"Tyndaris",Q671481
drop,,,"Sassi et parc des églises rupestres de Matera",Q55739617
keep,,,"Palais des Normands",Q1473825
keep,,,"Campanile de Saint-Marc",Q754194
keep,,,"Baptistère Saint-Jean",Q732511
keep,,,"Chapelle Sansevero",Q897839
keep,,,"La Fenice",Q223942
keep,,,"Colonne de Marc-Aurèle",Q265384
keep,,,"Teatro San Carlo",Q628491
keep,,,"Palais des papes de Castel Gandolfo",Q2739100
keep,,,"Palais Barberini",Q1136614
keep,,,"Campanile de Santa Maria del Fiore",Q1140023
keep,,,"Ca' Foscari",Q957551
demote,,musees,"Palais de Venise",Q1123879
keep,,,"Teatro Massimo Vittorio Emanuele",Q261439
demote,,,"Palazzo Gio Carlo Brignole",Q3361305
keep,,,"Palazzo Pubblico",Q1190961
keep,,,"Palazzo Rosso",Q2034331
keep,,,"Musée national du Bargello",Q388448
keep,,,"Galeries de l'Académie",Q338330
keep,,,"Pinacothèque de Brera",Q150066
keep,,,"Autel de la paix d'Auguste",Q623612
keep,,,"Musée national romain",Q1135392
keep,,,"Mole Antonelliana",Q201902
keep,,,"Palais de la Seigneurie",Q271928
keep,,,"Domus aurea",Q622438
keep,,,"Palais ducal de Mantoue",Q1635704
keep,,,"Chapelle Brancacci",Q1996075
keep,,,"Villa Farnesina",Q1126723
keep,,,"Museo dell'Opera del Duomo",Q1200696
keep,,,"Palais royal de Naples",Q426339
keep,,,"Palais Medici-Riccardi",Q911047
keep,,,"Collection Peggy-Guggenheim",Q1049033
keep,,,"Triennale de Milan",Q2705493
keep,,,"Catacombes capucines de Palerme",Q1728834
keep,,,"Jardin des Tarots",Q949846
keep,,,"MAXXI - Musée national des arts du XXIe siècle",Q1881229
keep,,,"Ca' Rezzonico",Q1052171
keep,,,"Galerie Doria-Pamphilj",Q1203458
demote,,,"Mausolée de Théodoric",Q289427
keep,,monuments,"Palais Gerolamo Grimaldi",Q3890183
keep,,monuments,"Teatro olimpico",Q902532
demote,,,"Phare de Livourne",Q3739193
demote,,,"Phare du Mont Circé",Q259658
demote,,,"Phare de San Benedetto del Tronto",Q28376417
keep,,,"Piazza della Signoria",Q849846
keep,,,"Piazza del Campo",Q1061229
drop,,,"Piazzale Loreto",Q525297
keep,,,"Piazza Bra",Q1056360
demote,,,"Viaduc Gênes-Saint-Georges",Q84709324
demote,,,"Mont Albain",Q1129380
demote,,,"Aspromonte",Q303853
demote,,,"Île de Gorgone",Q19347
demote,,,"Ventotene",Q1085906
demote,,,"Cumes",Q243456
demote,,,"Élée",Q272968
demote,,,"Palazzo Spinola di Pellicceria",Q3361333
keep,,,"Musée Ferrari",Q2706867
keep,,,"Galleria Estense",Q774128
keep,,,"Musée de Castelvecchio",Q2518724
keep,,,"Musée Revoltella",Q1954273
keep,,,"Mont Algide",Q989650
keep,,,"Mont Somma",Q729873
keep,,,"Lagune de Venise",Q76925
demote,,,"Tour Mileto",Q1815153
keep,,,"Mont Époméo",Q729764
