wikidata_id,theme_id,note,nom,departement,osm_id,horaires,tarif,site_web,lat,lon
Q55360153,musees,Museo di Fisica,Museo di Fisica,058,node/6500741290,"Tu 14:00-17:00, Fr 11:00-14:00 ""by appointment""",no,https://web.uniroma1.it/polomuseale/museo-fisica,41.901647,12.515752
Q55368995,musees,Museo dell’agricoltura e del mondo rurale,Museo dell’agricoltura e del mondo rurale,035,node/5586976255,"Mo-Fr 09:00-12:30; Sa 09:00-12:30; Su,PH 10:00-12:30,15:30-19:00",yes,https://museodellagricolturaedelmondorurale.com/,44.732810,10.784718
Q16336128,musees,Museo dello sbarco e Salerno Capitale,Museo dello sbarco e Salerno Capitale,065,node/2626774758,"Tu-Su 10:00-13:00,16:00-19:30; Mo off",yes,http://www.salerno1943-1944.com/,40.646960,14.817397
Q3868479,musees,Museo delle storie di Bergamo - Convento di San Francesco,Museo delle storie di Bergamo - Convento di San Francesco,016,node/12091685560,"Oct 01-May 31: Tu-Su 09:30-13:00,14:30-18:00; Jun 01-Sep 30 Tu-Fr 10:00-13:00,14:30-18:00; PH,Sa,Su 10:00-19:00; Jan 01,Dec 25 off",yes,https://www.museodellestorie.bergamo.it/luogo/convento-san-francesco/,45.705273,9.665188
Q67644601,musees,Museo delle guide,Museo delle guide,022,node/335605379,We-Mo 15:00-19:00+,no,https://www.campigliodolomiti.it/it/storia-cultura/musei-masi-corti-palazzi/museo-delle-guide-e-delle-genti-di-campiglio,46.228172,10.827842
Q3868157,musees,Museo delle Palafitte del Lago di Ledro,Museo delle Palafitte del Lago di Ledro,022,way/66764505,Mar-Jun Mo-Su 09:00-17:00; Jul-Aug Mo-Su 09:00-18:00; Sep-Nov Mo-Su 09:00-17:00; Dec 01-24 Mo-Su 09:00-17:00; Dec 25-30 Mo-Su 09:00-17:00,yes,https://www.palafitteledro.it/,45.873984,10.765412
Q3328414,musees,Museo delle Navi Romane,Museo delle Navi Romane,058,way/33548248,"Tu-Su 10:00-16:00; Mo off; Jan 1, May 1, Dec 25 off",no,http://www.itnw.roma.it/ostia/scavi/showquestion.php?faq=1&fldAuto=12,41.787056,12.254155
Q3868143,musees,Museo delle Genti d'Abruzzo,Museo delle Genti d'Abruzzo,068,node/7126401223,Mo-Fr 09:00-13:00; Sa-Su 16:00-20:00,yes,https://www.gentidabruzzo.com/,42.462034,14.213127
Q53709935,musees,Museo della maschera,Museo della maschera,006,node/12881529488,May-Oct Su [2] 15:00-19:00,no,http://www.museodellamaschera.it/Sito_Masch/Home.html,44.671283,8.647539
Q55674391,musees,Museo della civiltà contadina,Museo della civiltà contadina,050,node/1773373661,"Su 09:30-12:30,15:30-19:30",no,https://www.museociviltacontadinamontefoscoli.it/,43.577293,10.755197
Q30888469,musees,Museo della Zecca,Museo della Zecca,046,node/9132010191,Mo-Fr 09:30-12:30,yes,https://zeccadilucca.it,43.842860,10.495799
Q55379152,musees,Museo della Via Spluga e della Val San Giacomo,Museo della Via Spluga e della Val San Giacomo,014,node/1891901763,10:00 - 12:00,yes,https://www.museoviaspluga.it/,46.406132,9.352578
Q55674602,musees,Museo della Vecchia Officina - Miniere di Calamita,Museo della Vecchia Officina - Miniere di Calamita,049,node/5593931720,"Mo-Su,PH 10:00-15:00",yes,https://www.minieredicalamita.it/,42.716770,10.394936
Q3868115,musees,Museo della Tecnica Elettrica,Museo della Tecnica Elettrica,018,way/149246826,"Mo-Th 09:00-12:00, Fr ""by appointment"", Sa, Su 10:00-18:00",yes,http://museotecnica.unipv.eu,45.204953,9.134975
Q27992921,musees,Museo della Scrittura Meccanica,Museo della Scrittura Meccanica,004,node/8284219977,"""by appointment""",no,https://www.braservizi.com/educational/museo-della-scrittura-meccanica/,44.685084,7.839683
Q3868045,musees,Museo della Repubblica Romana e della memoria garibaldina,Museo della Repubblica Romana e della memoria garibaldina,058,node/6497896682,"Tu-Fr 10:00-14:00; Sa,Su,PH 10:00-18:00; Mo off; Jan 1 off; May 1 off; Dec 25 off",no,https://www.museodellarepubblicaromana.it/it/il_museo/editoriale,41.888395,12.461494
Q3963841,musees,Museo della Permanente,Museo della Permanente,015,node/9571069016,"Mo-Su 10:00-13:00, 14:30-18:30",yes,https://www.lapermanente.it/,45.476594,9.195513
Q28047517,musees,Museo della Fisica Giovanni Poleni,Museo della Fisica Giovanni Poleni,028,node/1495212302,Su 15:00-19:00,yes,https://www.musei.unipd.it/it/fisica,45.410414,11.885772
Q55373635,musees,Museo della Civiltà Contadina di Gaville,Museo della Civiltà Contadina di Gaville,048,node/5817463911,"Apr-Jun,Sep-Oct: Su 15:00-18:00",no,http://www.museogaville.it/,43.586651,11.428508
Q55673701,musees,Museo della Civiltà Contadina,Museo della Civiltà Contadina,080,way/972481631,Chiuso definitivamente,no,https://comune.scido.rc.it/vivere-il-comune/luoghi/museo-della-civilta-contadina/,38.245517,15.933415
Q55673402,musees,Museo della Certosa,Museo della Certosa,102,node/1945124996,"Mo-Su 10:00-13:00,15:00-17:00; Jan 01 off, easter off, Nov 02 off, Dec 25-26 off",yes,https://www.museocertosa.org/,38.566325,16.319692
Q27992927,musees,Museo della Bicicletta,Museo della Bicicletta,004,node/8284245931,"""by appointment""",no,https://www.braservizi.com/educational/museo-della-bicicletta/,44.684859,7.839474
