# Décisions éditoriales, cumulées au fil des revues.
#
# keep    : validé, et conservé même si un plancher venait à monter.
# drop    : écarté du catalogue.
# promote : remonté dans le classement.
# demote  : descendu dans le classement.
#
# Ce fichier est la mémoire de la curation. Le supprimer perd tout le travail
# de relecture ; en corriger une ligne suffit à revenir sur un verdict.
#
wikidata_id,decision,name,note
Q1149310,keep,Soufrière,
Q1150222,keep,Château de Saumur,
Q1152228,keep,Pointe des Châteaux,
Q1152950,keep,Villeneuve,
Q1153273,keep,Petite-Terre,
Q115476,keep,Lyons-la-Forêt,
Q1162474,keep,Escalier du roi d'Aragon,
Q1163298,keep,Roc de Saint-Cirq,
Q1165235,keep,Musée Nicéphore-Niépce,
Q1165249,drop,Hôtel de Lassay,
Q1165266,keep,Cathédrale Saint-Mammès de Langres,
Q1165428,drop,La Quina,
Q1165526,keep,Musée Jacquemart-André,
Q11682090,keep,Géant du Manio,
Q117210,keep,Arc de Germanicus,
Q1189865,keep,Dent d'Oche,
Q1189890,keep,Dentelles de Montmirail,
Q1189955,keep,Musée de l'Air et de l'Espace,
Q1190649,promote,Château de Monte-Cristo,
Q1191209,keep,Cathédrale Saint-Maurice d'Angers,
Q1192381,drop,Château de Menars,
Q11937330,keep,Abbatiale Saint-Volusien,
Q11938382,drop,Narbo Martius,
Q1196667,keep,Pont Louis-Philippe,
Q1196669,drop,Pont Amont,
Q1196688,keep,Pont de Sully,
Q1200500,keep,Cathédrale Notre-Dame-des-Doms d'Avignon,
Q12029511,drop,Abbaye Notre-Dame de Gercy,
Q121068983,drop,Stade nautique municipal Florence Arthaud,
Q122281,keep,Abri de Cap Blanc,
Q1226870,drop,Diois,
Q1227366,keep,Lac d'Aiguebelette,
Q1229179,keep,Abbaye Notre-Dame de Tamié,
Q1229863,keep,Monastère Sainte-Marie de Prouilhe,
Q1229917,drop,Palais de la Légion d'honneur,
Q122999925,keep,Cascade d'Angon,
Q1230290,keep,Le Belvédère,
Q1231132,drop,Abbaye de La Ferté,
Q1232116,keep,Abbaye de Luxeuil,
Q1232140,drop,Abbaye Notre-Dame de Bonneval,
Q12324327,keep,Domaine des Colombières,
Q1232844,keep,Grotte du Mas-d'Azil,
Q1233587,drop,Abbaye de Varennes,
Q123371156,keep,Cascade du Py,
Q1235866,drop,Dolmen de Brevilliers,
Q1235906,drop,Dolmen de Bagneux,
Q1235923,keep,Dolmen de Fontanaccia,
Q1236032,drop,Musée Condé,
Q1237974,drop,Couvent des Dominicains de Colmar,
Q123812815,keep,Cascade Didier,
Q1242068,demote,Donon,
Q1242274,drop,Maurienne,
Q1242545,drop,Arènes romaines de Béziers,
Q1243526,keep,Porte de Mars,
Q124400021,keep,Cascade de Bérard,
Q1245463,keep,Abbaye Notre-Dame de Sénanque,
Q1245499,keep,Abbaye de Flaran,
Q124934534,keep,Cascade d'Arcouzan,
Q1249452,keep,Cathédrale Saint-Pierre-et-Saint-Paul de Maguelone,
Q1250285,keep,Pointe de la Torche,
Q125814,keep,Château de Germolles,
Q1263082,drop,Jardin Atlantique,
Q1265070,demote,Musée Grévin,
Q1267547,keep,Mont Mézenc,
Q1270698,keep,Désert de Retz,
Q1272235,keep,Phare du Créac'h,
Q1275971,keep,Basilique du Sacré-Cœur de Paray-le-Monial,
Q1279597,drop,Monuments romains et romans d'Arles,inscription UNESCO et non une visite — evincait les arenes d'Arles a 22 m
Q128259,keep,Rochefort-en-Terre,
Q1284688,drop,Fondation Cartier pour l'art contemporain,
Q1284848,promote,Hospices de Beaune,
Q1289258,keep,Château des ducs de Bretagne,
Q1290232,drop,Uxellodunum,
Q1293678,keep,Forêt de Fontainebleau,
Q129455094,drop,Mas du Bayle-Vert,
Q1298462,keep,Lac de Narlay,
Q1300190,keep,Abbaye Saint-Jean-des-Vignes,
Q1307212,keep,Abbaye d'Aulps,
Q1307926,keep,Pic Saint-Loup,
Q1310277,keep,Tumulus de Bougon,
Q131369409,drop,Camp de prisonniers de Buglose,
Q131581675,keep,Neufchâteau,
Q131760299,promote,Cascade des Brochaux,
Q131830,keep,Cirque de Mafate,
Q1318314,drop,Château d'Ainay-le-Vieil,
Q1319378,keep,Musée des Arts décoratifs,
Q1323635,drop,Petit pont Cardinal-Lustiger,
Q1323726,keep,Tumulus du Mané-Lud,
Q1324926,keep,Musée des Beaux-Arts et d'Archéologie de Besançon,
Q1326818,keep,Château de Miromesnil,
Q1326970,drop,Hôtel de ville d'Aix-en-Provence,
Q132733274,demote,Source du Doubs,
Q1327827,demote,Pont au Change,
Q1327886,keep,Musée Marmottan Monet,
Q1328655,drop,Pierre-aux-Fées,
Q1329076,drop,Pont Saint-Michel,
Q1329141,keep,Pont des Arts,
Q1329745,keep,Cathédrale Notre-Dame-du-Puy de Grasse,
Q1329976,keep,Citadelle de Besançon,
Q1333383,keep,Château de Montaigne,
Q1333442,keep,Viaduc de Garabit,
Q1334057,keep,Ballon d'Alsace,
Q1334492,keep,Marie-Galante,
Q13360213,drop,Palais de Chaillot,
Q1336068,keep,Lac du Mont-Cenis,
Q1337859,keep,Mont Aiguille,
Q133824,keep,Issoire,
Q1338868,keep,Gorges du Gardon,
Q1339429,keep,Basilique Saint-Quentin,
Q1344947,keep,Cathédrale Notre-Dame-de-Grâce de Cambrai,
Q1348930,keep,Lac de Naussac,
Q1349239,keep,Cathédrale Saint-Alain de Lavaur,
Q1351690,keep,Cathédrale Saint-Étienne de Toul,
Q13518226,drop,Abbaye Notre-Dame de Bithaine,
Q13518333,keep,Maison natale de Colette,
Q13518357,drop,La Tourasse,
Q13518440,drop,Dolmen des Bignes,
Q135225,keep,Phare d'Eckmühl,
Q1357930,keep,Phare du Portzic,
Q1364525,keep,Phare du Petit Minou,
Q1364573,keep,Phare de Goulphar,
Q1364985,keep,Roseraie du Val-de-Marne,
Q1366553,keep,Cathédrale Sainte-Croix d'Orléans,
Q1367746,drop,Quentovic,
Q1368360,keep,Musée Picasso,
Q136871,drop,Tête du Géant,
Q136877,keep,Pointe de Chésery,
Q1369366,keep,Île Sainte-Marguerite,
Q1369923,keep,Massif de l'Esterel,
Q1376,keep,"Musée Saint-Raymond, musée d'Archéologie de Toulouse",
Q1376597,drop,Château de Troussay,
Q1377160,keep,Château du Plessis-Bourré,
Q1377888,keep,Parc archéologique européen de Bliesbruck-Reinheim,
Q1378423,drop,Abbaye d'Élan,
Q138101,keep,Conciergerie de Paris,
Q13837005,keep,Houat,
Q1385053,drop,Abbaye de la Charité,
Q1388682,keep,Saint-Symphorien-sur-Coise,
Q1390535,keep,Puycelsi,
Q1392601,keep,Château de Hautefort,
Q1394288,keep,Abbaye Royale Notre-Dame de Bernay,
Q139580369,keep,Jardin japonais « Île de Versailles »,
Q1397720,keep,Grand Ballon,
Q1398911,keep,Musée du Désert,
Q1399583,keep,Grand Wintersberg,
Q1399824,keep,Cathédrale Notre-Dame-de-l'Assomption de Luçon,
Q1399857,keep,Mont Sainte-Odile,
Q1406850,keep,Palais de l'Isle,
Q1410336,keep,Cathédrale Saint-Maurice de Vienne,
Q1411180,keep,Musée du Luxembourg,
Q1411720,keep,Ouvrage du Hackenberg,
Q1412839,keep,Monte Incudine,
Q1413346,demote,Lac de Madine,
Q1414059,keep,Parc Monceau,
Q1414641,keep,Lac de Longemer,
Q1418458,keep,Pont d'Arcole,
Q1418854,promote,Ouvrage de Schoenenbourg,
Q1419562,keep,Tumulus Saint-Michel,
Q1419757,keep,Cathédrale Sainte-Marie-Majeure,
Q1423005,keep,Cathédrale Saint-Pierre-et-Saint-Paul,
Q1424577,keep,Pointe de Pen-Hir,
Q1425162,keep,Cathédrale Saint-Samson de Dol-de-Bretagne,
Q1425474,promote,Jardin botanique de Haute-Bretagne,
Q1431547,demote,Tour Saint-Jacques,
Q143463,keep,Palais des papes,
Q1434679,keep,Lac de Saint-Cassien,
Q1435049,keep,Médoc,
Q1435689,promote,Fondation Maeght,
Q1436883,keep,Château de Maintenon,
Q1437352,drop,Margeride,
Q1438801,keep,Fort de Vaux,
Q14397431,drop,Abbaye de Montmartre,
Q1451798,keep,Château de Josselin,
Q145306,keep,Larressingle,
Q1455591,keep,Château du Wasenbourg,
Q1456446,keep,Le Reculet,
Q14565687,keep,Baousso del Biel,
Q14566044,drop,Musée Champollion,
Q1458146,drop,Ambrussum,
Q1458431,demote,Réservoir de Bouzey,
Q1460090,keep,Pont-Neuf,
Q1461848,drop,Château de Ferrières,
Q14628539,keep,Temple de Mars à Corseul,
Q1463472,drop,Monts de Vaucluse,
Q1464908,keep,Basilique Saint-Martin de Tours,
Q1468594,keep,Cathédrale Notre-Dame de Coutances,
Q1469250,demote,Pont au Double,
Q1470842,keep,Château de Sully-sur-Loire,
Q1473446,keep,Fondation Claude-Monet,
Q1476342,keep,Hell-Bourg,
Q1476690,drop,Hôtel Saint-Pol,
Q1479356,keep,Château de Talcy,
Q1480604,keep,Château de Pau,
Q1481233,keep,Cathédrale Saint-Pierre de Poitiers,
Q1483632,drop,Tombe de Vix,
Q1487492,keep,Grotte des Combarelles I,
Q148959,keep,Riquewihr,
Q1493222,keep,Cathédrale Saint-Alexandre-Nevsky,
Q1494461,keep,Tour Vauban,
Q1495042,drop,Villa La Léopolda,
Q1496402,keep,Cascade de Gavarnie,
Q1496494,drop,Gavrinis,on ne va sur l ile que pour le cairn Q2933238
Q150039,drop,Neuf-Brisach,
Q1500472,keep,Pointe du Raz,
Q150308,drop,Téviec,
Q1503331,keep,Obélisque de Louxor,
Q15056170,keep,Maison des Lumières Denis Diderot,
Q1506285,drop,Abbaye Notre-Dame du Landais,
Q1509963,keep,Montagne Noire,
Q1510,keep,Théâtre antique de Lyon,
Q151030,keep,Moulin-Rouge,
Q15106714,keep,Arc Héré,
Q1513866,keep,Pont de Bercy,
Q1514062,keep,Basilique Sainte-Clotilde,
Q1514576,keep,Pont du Diable,
Q1516,keep,Basilique Notre-Dame de Fourvière,
Q1516747,keep,Château de Commarque,
Q15169072,keep,Cascade de la queue de cheval,
Q1517182,keep,Mont Agel,
Q1517348,keep,Château de Châteauneuf,
Q1518963,demote,Tour de Constance,
Q1518970,keep,Montagne Sainte-Victoire,
Q1518981,keep,Château de Puymartin,
Q1518999,keep,Cathédrale Saint-Étienne d'Auxerre,
Q1519002,keep,Musée Fabre,
Q1519275,drop,Gesoriacum,
Q151985,drop,Ardenne,
Q1520841,keep,Château de Saint-Germain-en-Laye,
Q1520861,demote,Pont des Catalans,
Q1521,keep,Primatiale Saint-Jean de Lyon,
Q15221888,drop,Gorges d'Apremont,
Q15229399,keep,Jardin d'Albertas,
Q1526555,keep,Temple de Janus,
Q1530976,keep,Musée français de la carte à jouer,
Q1535929,keep,Lac d'Hourtin et de Carcans,
Q1535963,keep,Musée des Beaux-Arts de Strasbourg,
Q1537302,keep,Cathédrale Notre-Dame du Puy-en-Velay,
Q1538216,keep,Gorges de l'Ardèche,
Q153822,keep,Basse-Terre,
Q1538222,keep,Gorges de Galamus,
Q1538251,keep,Gorges du Tarn,
Q1538826,keep,Musée des Arts et Métiers,
Q1538929,demote,Parc Montsouris,
Q1539168,keep,Cathédrale Saint-Sauveur d'Aix-en-Provence,
Q1540116,keep,Gouffre de Padirac,
Q1541186,keep,Grand-Théâtre de Bordeaux,
Q1545452,keep,Piton des Neiges,
Q154728,keep,Toul,
Q1547643,promote,Grotte du Lazaret,
Q15478,drop,Capcir,
Q1547865,keep,Château de Dampierre,
Q1548218,keep,Château de Montrésor,
Q1548414,keep,Château d'Azay-le-Ferron,
Q1552130,keep,Château de Bussy-Rabutin,
Q1552366,keep,Château du Haut-Koenigsbourg,
Q1552859,drop,Couvent des Jacobins de Paris de la rue Saint-Honoré,
Q1553818,keep,Lac de Retournemer,
Q155413,keep,Sainte-Agnès,
Q1557685,keep,Château de Guédelon,
Q1559820,drop,Abbaye d'Aubepierre,
Q1561438,drop,Palais Rohan,
Q15627617,keep,Musée Ampère,
Q15627675,keep,Musée des Papeteries Canson et Montgolfier,
Q1563071,keep,Cathédrale Saint-Julien du Mans,
Q1563354,keep,Musée Matisse,
Q15638587,keep,Tumulus du Montioux,
Q1567808,keep,Gorges de la Spelunca,
Q1568041,keep,Pic de Nore,
Q15696502,drop,Île Vierge,l ilot n existe que pour son phare ; meme resume Wikipedia que Q1639005
Q15714017,keep,Aeroscopia,
Q1573266,drop,Pont de Neuilly,
Q1574024,keep,Storkenkopf,
Q1574432,keep,Villa Noailles,
Q1577318,drop,Tramway du Mont-Blanc,
Q1578858,keep,Lac de Capitello,
Q1579344,keep,Château de Sceaux,
Q15834830,keep,Pierre Percée,
Q1583780,demote,La Samaritaine,
Q1585909,drop,Musée du Général Leclerc de Hauteclocque et de la Libération de Paris - musée Jean-Moulin,
Q1586486,keep,Cathédrale Saint-Jean de Besançon,
Q1587628,keep,Musée national de Céramique,
Q15940146,keep,Château de Boulogne-sur-Mer,
Q15943913,drop,Château de Châteauneuf-sur-Loire,
Q15944317,keep,Château de Thorey-Lyautey,
Q15944355,drop,Château de Labastide-Murat,
Q15948600,keep,Dolmen de la Grotte aux Fées,
Q1595270,keep,Forêt de Haguenau,
Q15952779,drop,Tour-monastère de l'abbaye de Lérins,la tour est dans l enclos de l abbaye de Lerins Q334008 : un bateau une visite
Q15953040,keep,Pont-vieux de Nérac,
Q15953089,keep,Pont suspendu de Bourret,
Q15958137,drop,Couvent des Minimes de la place Royale,
Q15972919,promote,Jardin Jungle Karlostachys,
Q15992417,drop,Château du Louvre,demoli par etapes ; ses fondations sont le Louvre medieval du musee a 188 m
Q16010313,drop,Alpes de Provence,
Q16034352,drop,Maison de Nicéphore Niépce,
Q16040009,promote,Îlet Chancel,
Q16040133,keep,Îlet Sainte-Marie,
Q1604334,demote,Pont de la Basse-Chaîne,
Q1607765,keep,"Lille Métropole Musée d'Art moderne, d'Art contemporain et d'Art brut",
Q1609139,keep,Lac des Bouillouses,
Q161258,drop,La Passion–Clipperton,
Q1613242,keep,"Le Clos Arsène Lupin, Maison Maurice Leblanc",
Q1617779,promote,Alignements de Kerzérho,
Q161787,keep,Château de Champs-sur-Marne,
Q1619084,keep,Palais Longchamp,
Q1619525,keep,Pointe Percée,
Q1619770,keep,Pointe d'Arcalod,
Q1620783,keep,Historial de la Grande Guerre,
Q1621256,demote,Pont de l'Alma,
Q1624140,keep,Hohneck,
Q1624531,drop,Massif des Albères,
Q1626747,keep,Château de Meudon,
Q16303814,keep,Maison d'artiste de la Grande Vigne,
Q16303824,keep,Maison familiale d'Henri Matisse,
Q16303828,keep,Maison Ravier,
Q1631711,drop,Musée Fragonard de l'École vétérinaire de Maisons-Alfort,
Q1632912,keep,Musée Galliera,
Q16335747,drop,Musée Muséum départemental des Hautes-Alpes,
Q1636244,keep,Cathédrale Notre-Dame de Bayeux,
Q1636682,drop,Bibliothèque humaniste de Sélestat,
Q1638606,keep,Phare de Saint-Mathieu,
Q1639005,keep,Phare de l'Île Vierge,
Q1640215,drop,Maison Fournaise,
Q1641000,drop,Couvent des Madelonnettes,
Q1643082,drop,Hôtel Lambert,
Q1643105,drop,Hôtel de Beauvais,
Q1643144,keep,Hôtel de Sully,
Q1643777,drop,Caune de l'Arago,
Q1643799,keep,Grotte de Pair-non-Pair,
Q1643811,keep,Grotte de la Mairie,
Q1643818,drop,Grotte du Tuc d'Audoubert,
Q1645281,keep,Mont de Grange,
Q1646064,keep,Abbaye de Clermont,
Q1648101,keep,Château de Brézé,
Q1648124,keep,Mont Trelod,
Q1648147,keep,Mourre Nègre,
Q1648153,drop,Lances de Malissard,
Q164901,drop,Château de Montgilbert,
Q1650648,drop,Montagnes Noires,
Q1650661,keep,Château de Combourg,
Q16507528,drop,Condate Riedonum,
Q16508156,demote,Gorges de la Balme,
Q16508196,keep,Grands Goulets,
Q1650984,drop,Abbaye de Theuley,
Q16510457,demote,Pont Sarrazin,
Q16536395,keep,Cascade de l'Arpenaz,
Q16540847,drop,Colline de Bourlémont,
Q1658544,keep,Île de Port-Cros,
Q1658766,keep,Cathédrale Saint-Jean-Baptiste d'Aire,
Q1659709,keep,Basilique Saint-Andoche de Saulieu,
Q1659920,keep,Le Semnoz,
Q1661220,promote,Château de Val,
Q16627473,promote,Cascade d'Ars,
Q16639191,drop,Gisement du Martinet,
Q1664416,keep,Musée du Petit Palais,
Q1665109,drop,Institut national de l'audiovisuel,
Q1665255,keep,Musée de l'atelier Rosa Bonheur,
Q1666367,keep,Lac Pavin,
Q16665632,drop,Musée de la Loire,
Q1666762,drop,Château de Lanquais,
Q16680564,drop,Tour Isabelle,
Q1671011,keep,Cathédrale Notre-Dame-de-la-Treille,
Q1671366,keep,Abbaye Saint-Jouin,
Q16718,keep,Châteauneuf,
Q167182,keep,Musée Georges-Labit,
Q167248,keep,Musée départemental Thomas-Dobrée,
Q1673878,drop,Abbaye Notre-Dame de Larrivour,
Q1675088,keep,Cathédrale Notre-Dame de Saint-Omer,
Q1676387,keep,Pierres Jaumâtres,
Q167827,keep,Abbaye de Saint-Roman,
Q167863,demote,Musée du quai Branly - Jacques-Chirac,
Q16802261,demote,Étang de l'Estomac,
Q1683459,keep,Jardins du Trocadéro,
Q1688538,drop,Musée Réattu,
Q16928476,drop,Forteresse du Mont-Valérien,
Q1695413,keep,Ancien hôtel de ville de Fort-de-France,
Q1696035,keep,Abbaye de Lachalade,
Q16964634,promote,Cité du Vin,
Q16964738,demote,Petite mer de Gâvres,
Q16964856,keep,Villa Majorelle,
Q1703862,drop,Massif de la Vanoise,
Q1709158,keep,Cathédrale Sainte-Eulalie-et-Sainte-Julie d'Elne,
Q1711691,keep,Cathédrale Saint-Bénigne de Dijon,
Q1711734,keep,Salève,
Q1717300,drop,Abbaye de Cherlieu,
Q17173414,keep,Mont d'Alambre,
Q1721201,keep,Petit Ballon,
Q172125,keep,Grotte de Lascaux,
