# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q110929536,3,maisons,Musée Claude Bernard
Q110929537,3,maisons,Musée Emile Guillaumin
Q110929539,3,maisons,Musée Gay-Lussac
Q110929540,3,maisons,Musée Jean-Racine
Q110929541,3,maisons,Musée Renaudot
Q110929543,3,maisons,Musée Escoffier de l'art culinaire
Q1110479,3,sommets,Colomby de Gex
Q111207734,3,cascades,Cascades de Caraoucou
Q1113596,3,megalithes,Combe-Capelle
Q1117166,3,chateaux,Château d'Haroué
Q111974626,2,gorges,Gorges de Baudinard
Q1120837,3,lacs,Étang d'Urbino
Q1122731,3,chateaux,Château du Clos Lucé
Q1124095,3,musees,Musée de Cluny
Q1125842,3,chateaux,Château de la Verrerie
Q112659724,2,cascades,Cascade de la Vis
Q113389,2,chateaux,Château d'Azay-le-Rideau
Q1136951,3,cathedrales,Cathédrale Notre-Dame-de-l'Annonciation de Nancy
Q1137826,3,abbayes,Abbaye de Beaulieu-en-Rouergue
Q1137837,3,sommets,Montagne de Céüse
Q1137944,3,abbayes,Abbaye d'Aubazine
Q1138519,2,plages,Sword Beach
Q1139060,2,sommets,Pic du Midi de Bigorre
Q1141846,2,chateaux,Château de Cheverny
Q1142363,2,chateaux,Château de Valençay
Q1142554,1,sommets,Crêt de la Neige
Q1142988,3,musees,Musée Calvet
Q1143049,1,chateaux,Château de Montsoreau
Q1143558,3,chateaux,Château de Langeais
Q1144686,3,megalithes,Laugerie-Basse
Q1146645,2,megalithes,Voie Domitienne
Q1149310,1,volcans,Soufrière
Q114965973,3,ponts,Pont Louafi Bouguera
Q1150222,3,chateaux,Château de Saumur
Q1152228,2,plages,Pointe des Châteaux
Q1153273,2,iles,Petite-Terre
Q115476,3,villages,Lyons-la-Forêt
Q1162474,3,monuments,Escalier du roi d'Aragon
Q1163298,2,grottes,Roc de Saint-Cirq
Q1165235,3,musees,Musée Nicéphore-Niépce
Q1165266,3,cathedrales,Cathédrale Saint-Mammès de Langres
Q1165526,3,musees,Musée Jacquemart-André
Q11682090,3,megalithes,Géant du Manio
Q117210,2,monuments,Arc de Germanicus
Q11832360,3,plages,Bretagne
Q1189865,1,sommets,Dent d'Oche
Q1189890,2,sommets,Dentelles de Montmirail
Q1189955,3,musees,Musée de l'Air et de l'Espace
Q1190649,1,maisons,Château de Monte-Cristo
Q1191209,3,cathedrales,Cathédrale Saint-Maurice d'Angers
Q11937330,3,abbayes,Abbatiale Saint-Volusien
Q1200500,3,cathedrales,Cathédrale Notre-Dame-des-Doms d'Avignon
Q121068983,3,lacs,Stade nautique municipal Florence Arthaud
Q122281,2,grottes,Abri de Cap Blanc
Q1227366,1,lacs,Lac d'Aiguebelette
Q1229179,3,abbayes,Abbaye Notre-Dame de Tamié
Q1229863,3,abbayes,Monastère Sainte-Marie de Prouilhe
Q122999925,1,cascades,Cascade d'Angon
Q1230290,3,maisons,Le Belvédère
Q1232116,3,abbayes,Abbaye de Luxeuil
